Canal,Cadena,MEDIA ,ID ,Datos ,Categoria,Marca,Submarca,UPC,Descripcion,Jan-19
Departamentales,Sanborns,,0,Desp U,Cocina,FLAVOR STONE,JUEGO DE CUCHILLOS,830809002956,JUEGO DE CUCHILLOS FLAVOR STONE  AZULES, - 
Departamentales,Sanborns,,203883,Desp U,Belleza,FLAWLESS LEGS,FLAWLESS LEGS,754502038893,FLAWLESS LEGS, 5 
Departamentales,Sanborns,,6950613,Desp U,Belleza,MICROTOUCH SOLO,MICROTOUCH SOLO,754502036486,MICROTOUCH SOLO, 57 
Departamentales,Sanborns,,1203011,Desp U,Ferreteria,TURBOTHRUST,TURBOTHRUST,644812030123,TURBOTHRUST, - 
Departamentales,Sanborns,,900737,Desp U,Cocina,Cerafit,CERAFIT FUSION,830809007395,CERAFIT FUSION, 3 
Departamentales,Sanborns,,1233896,Desp U,Cocina,Nicer dicer,Nicer dicer,4023012338998,Nicer dicer, 5 
Departamentales,Sanborns,,4180920,Desp U,Hogar,chill chest,chill chest,735541809255,chill chest, 1 
Departamentales,Sanborns,,3959756,Desp U,Cocina,GOTHAM,GOTHAM STEEEL 3 pan,787639597537,GOTHAM STEEEL 3 pan, 2 
Departamentales,Sanborns,,6579371,Desp U,Hogar,ARCTIC AIR,ARCTIC AIR,735541711251,ARCTIC AIR, 6 
Departamentales,Sanborns,,203647,Desp U,Belleza,FLAWLESS FINISHING TOUCH,FLAWLESS FINISHING TOUCH,754502036417,FLAWLESS FINISHING TOUCH, 465 
Departamentales,Sanborns,,900188,Desp U,Hogar,Tobi,Tobi,830809001898,tobi, - 
Departamentales,Sanborns,,900751,Desp U,Hogar,up cart,up cart,830809007500,up cart, - 
Departamentales,Sanborns,,6091903,Desp U,fitness,AB DOER,AB DOER 360,787639597391,AB DOER 360, - 
Departamentales,Sanborns,,6091927,Desp U,Cocina,Cerafit,CERAFIT MASTER SET,787639597292,CERAFIT MASTER SET, 3 
Departamentales,Sanborns,,6091897,Desp U,Belleza,Slim n' Lift,FAJA AIRE L,787639597384,FAJA AIRE L, - 
Departamentales,Sanborns,,6091880,Desp U,Belleza,Slim n' Lift,FAJA AIRE M,787639597377,FAJA AIRE M, - 
Departamentales,Sanborns,,3959732,Desp U,Cocina,Salad Chef,SALAD CHEF,787639597315,SALAD CHEF, - 
Departamentales,Sanborns,,6091958,Desp U,Cocina,FLAVOR STONE,CUCHILLOS FLAVORSTONE DELUXE,830809007005,CUCHILLOS FLAVORSTONE DELUXE, - 
Departamentales,Sanborns,,6091910,Desp U,Cocina,FLAVOR STONE,MASTER SET COPPER,830809006749,MASTER SET COPPER, 5 
Departamentales,Sanborns,,6091934,Desp U,Hogar,H2O MOP,H2O MOP X5,787639597285,SET PAÑOS H20, - 
Departamentales,Sanborns,,1224214,Desp U,Cocina,Cerafit,Cerafit Gold Edition,4023012242110,Cerafit Gold Edition, 2 
Departamentales,Sanborns,,6025687,Desp U,Belleza,BETTER BRELLA,BETTER BRELLA NEGRO,80313010392,BETTER BRELLA NEGRO, - 
Departamentales,Sanborns,,6025694,Desp U,Belleza,BETTER BRELLA,BETTER BRELLA AZUL,80313010378,BETTER BRELLA AZUL, - 
Departamentales,Sanborns,,1301120,Desp U,Belleza,BETTER BRELLA,BETTER BRELLA ROJO,80313011238,BETTER BRELLA ROJO, - 
Departamentales,Sanborns,,7173387,Desp U,fitness,WONDER CORE,WONDER CORE,786471733844,WONDER CORE, 55 
Departamentales,Sanborns,,5379965,Desp U,Hogar,Mini Max,Mini Max,830809006176,Mini Max, - 
Departamentales,Sanborns,,0,Desp U,Belleza,Slim n' Lift,Aire Bra,741587304364,Slim And Lift Aire®Bra Clasico Negro 1 Pza S, - 
Departamentales,Sanborns,,0,Desp U,Belleza,Slim n' Lift,Aire Bra,741587304371,Slim And Lift Aire®Bra Clasico Negro 1 Pza M, - 
Departamentales,Sanborns,,0,Desp U,Belleza,Slim n' Lift,Aire Bra,741587304388,Slim And Lift Aire®Bra Clasico Negro 1 Pza G, - 
Departamentales,Sanborns,,0,Desp U,Belleza,Slim n' Lift,Aire Bra,741587304395,Slim And Lift Aire®Bra Clasico Negro 1 Pza XG , - 
